CaseID,weight,XSPANISH,INTERNET,Q1,Q2_A,Q2_B,Q2_C,Q2_D,Q2_E,Q2_Refused,Q3,Q4,Q5_A,Q5_B,Q5_C,Q5_D,Q5_E,Q5_F,Q5_Refused,Q7,Q9,Q10,Q11,Q12,Q13,Q14,INTMOB,INTFREQ,SMART1,SNSINT2,PPAGE,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPMSACAT,PPSTATEN,PPWORK
400,.8771,1,1,2,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,2,2,2,2,1,2,6,1,2,1,1,46,4,1,1,17,1,22,1
401,.686,1,1,5,0,1,0,0,0,0,5,2,0,0,0,1,0,0,0,6,1,3,1,1,2,5,1,2,1,1,64,3,1,2,13,1,59,1
402,.7597,1,2,6,0,0,0,0,1,0,5,3,0,0,0,0,1,0,0,6,3,3,3,5,3,6,1,3,1,2,60,2,1,2,13,1,46,1
403,1.1679,1,1,2,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,2,3,3,2,2,1,6,1,1,1,1,38,2,1,1,17,1,54,1
404,.732,1,1,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,2,3,2,3,5,3,6,2,2,2,1,64,2,1,2,9,0,11,5
405,.444,1,1,5,1,1,1,0,0,0,1,3,1,0,0,1,0,0,0,6,1,2,3,5,2,3,2,1,2,1,26,3,5,2,6,0,59,4
406,.6303,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,5,3,3,3,1,3,6,1,2,2,1,61,4,1,2,12,1,21,2
407,.5321,1,5,2,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,6,2,1,3,5,2,6,2,5,2,2,53,1,5,1,11,1,34,6
408,.9124,1,1,1,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,6,2,3,3,5,2,5,2,3,2,1,89,2,1,1,10,1,34,5
409,.7804,1,1,6,0,1,0,0,0,0,5,3,1,1,0,0,0,0,0,6,3,3,3,1,2,6,1,3,2,1,76,2,1,2,13,1,23,5
410,.728,1,1,2,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,2,3,3,2,1,2,6,1,1,1,1,82,4,1,1,17,1,52,5
411,1.2228,1,1,6,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2,2,2,1,2,6,1,4,1,1,24,3,1,1,14,1,12,1
412,.5771,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,4,3,3,3,1,3,6,1,3,1,1,71,3,1,2,6,0,42,5
413,.882,1,1,2,0,0,0,1,0,0,5,2,0,0,1,1,0,0,0,2,1,3,2,1,2,5,1,1,1,1,66,2,1,1,18,1,31,5
414,.7866,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,6,3,3,3,5,3,6,2,3,2,1,77,2,1,2,19,0,46,5
415,2.1502,1,1,6,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,6,1,2,2,1,2,6,1,2,1,1,18,1,2,1,11,1,56,1
416,.8424,1,1,6,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,2,1,2,2,1,2,6,1,2,1,2,66,2,1,1,13,1,41,5
417,.7453,1,5,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,-1,3,1,3,1,2,6,2,5,2,2,60,2,1,2,3,1,73,6
418,1.0804,1,1,2,0,0,0,1,0,0,5,3,1,1,1,1,0,0,0,6,3,3,3,1,2,6,1,2,1,1,51,2,1,1,14,1,59,1
419,.9425,1,1,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,3,3,5,3,6,2,2,2,1,57,2,1,2,6,1,74,1
420,.838,1,1,5,0,0,0,1,0,0,5,2,1,1,1,1,0,0,0,2,3,2,2,1,2,6,1,2,1,1,59,3,1,2,11,1,86,1
421,.5873,1,2,5,0,0,0,1,0,0,5,1,1,1,0,1,0,0,0,6,1,2,2,5,1,5,1,2,1,1,62,3,1,2,7,1,87,1
423,.6565,1,1,6,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,6,3,3,3,1,2,6,1,2,1,1,61,4,1,2,14,1,58,5
425,.6492,1,1,2,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,2,1,2,1,2,2,1,1,2,1,1,68,4,1,1,17,1,86,1
426,.9265,1,1,2,0,0,0,1,0,0,5,2,1,0,0,0,0,0,0,2,3,2,2,1,2,6,1,2,1,1,35,4,1,2,11,1,74,2
427,.9406,1,1,6,0,0,0,1,0,0,5,3,0,0,0,1,0,0,0,6,3,1,3,1,2,6,1,3,1,1,34,3,1,2,13,1,23,1
428,.8589,1,1,6,1,0,0,0,0,0,5,3,1,1,1,1,0,0,0,6,3,3,3,1,1,6,1,2,1,1,45,4,1,2,8,1,72,2
429,.9433,1,1,2,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,2,3,2,2,1,2,1,1,2,1,1,39,4,1,1,15,1,56,1
431,1.0075,1,1,2,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,3,3,2,2,6,2,3,2,2,61,2,1,1,11,1,46,1
432,.8765,1,2,6,0,0,0,1,0,0,5,3,0,1,1,1,0,0,0,6,3,2,2,5,2,6,2,2,2,1,61,2,1,1,1,0,55,5
433,.7607,1,1,6,0,0,0,1,0,0,1,3,1,1,1,1,0,0,0,6,3,3,2,1,1,6,1,5,2,1,77,3,1,1,13,1,74,5
434,1.0496,1,1,2,1,0,0,0,0,0,5,2,1,0,0,0,0,0,0,2,3,2,2,1,2,6,1,2,1,1,25,4,1,2,19,1,14,1
435,.7123,1,1,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,2,1,3,1,1,2,6,1,2,1,1,80,4,1,1,16,1,33,5
436,1.4009,1,1,6,0,0,0,1,0,0,5,2,0,0,1,0,0,0,0,2,2,1,2,1,2,2,1,2,1,1,35,4,2,2,9,1,72,2
437,.8609,1,1,2,0,0,0,1,0,0,5,3,0,0,0,1,0,0,0,6,3,3,2,1,2,6,2,2,2,1,63,2,1,1,13,1,59,5
438,1.1692,1,1,6,0,0,0,0,1,0,5,3,0,0,1,0,0,0,0,6,3,2,2,1,2,6,1,1,1,1,43,2,1,1,11,0,34,1
439,.8789,1,2,6,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,2,2,3,3,5,3,6,1,3,1,2,51,3,1,2,14,0,34,1
440,.6783,1,1,5,0,0,0,0,1,0,5,2,1,0,0,0,0,0,0,6,1,2,2,5,2,6,1,1,1,1,68,3,1,1,12,1,93,1
441,1.8022,2,1,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,5,3,1,3,2,1,6,1,1,1,1,56,2,4,1,11,1,59,1
442,.8229,1,1,2,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,2,3,5,2,6,2,5,2,1,69,2,1,2,11,1,43,5
443,.8804,1,3,5,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,1,2,2,2,2,6,2,3,2,2,62,3,1,1,11,0,32,1
444,.8352,1,1,6,0,0,0,1,0,0,5,2,0,0,1,1,0,0,0,2,3,1,2,2,2,6,1,2,1,1,50,2,1,2,7,1,44,1
445,.9947,1,1,2,0,0,0,1,0,0,5,1,0,1,1,1,0,0,0,5,1,1,1,1,2,5,1,1,1,1,44,2,1,1,13,1,86,1
446,.9645,1,1,2,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,2,1,3,3,1,2,6,1,2,1,1,36,3,1,1,12,1,33,1
447,.6746,1,1,4,0,0,0,0,1,0,5,2,1,0,0,1,0,0,0,6,3,2,2,5,3,6,1,2,1,2,55,4,1,2,4,1,34,6
448,.9433,1,1,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,2,2,1,2,1,1,2,1,1,33,4,1,1,16,1,74,1
449,.8345,1,1,6,1,0,0,0,0,0,5,3,1,0,1,1,0,0,0,2,1,3,3,1,2,6,1,2,1,1,45,4,1,2,18,1,14,2
450,.9256,1,1,2,0,0,0,0,0,1,5,3,0,0,0,1,0,0,0,6,1,2,2,2,2,6,1,2,1,1,55,4,1,1,16,0,61,1
452,1.3316,1,1,4,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,1,2,2,1,4,2,5,2,2,1,2,58,3,2,1,11,1,93,6
453,.6057,1,1,6,0,0,0,1,0,0,5,3,0,0,1,1,0,0,0,6,3,1,3,1,2,6,2,2,2,1,75,4,1,2,9,1,86,5
455,.8589,1,1,6,0,0,0,1,0,0,5,3,0,1,1,1,0,0,0,6,3,2,3,5,2,6,1,1,1,1,59,4,1,2,11,1,62,1
456,.7513,1,2,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,2,3,3,3,1,3,6,2,5,2,2,64,4,1,1,13,1,33,5
457,.7293,1,2,6,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,2,3,3,3,5,2,6,2,5,2,2,75,2,1,2,4,1,46,5
458,1.4444,1,1,2,0,0,0,1,0,0,5,2,0,1,0,0,0,0,0,2,2,1,2,2,2,5,1,1,1,1,36,4,3,2,19,1,74,1
459,1.2315,1,1,6,0,0,0,1,0,0,5,3,0,0,0,1,0,0,0,6,3,2,3,5,2,6,1,2,1,1,28,3,1,1,8,1,32,4
460,.7513,1,1,2,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,2,3,3,2,1,2,6,2,3,2,1,69,2,1,2,12,0,47,5
461,.9009,1,1,2,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,1,1,31,4,1,1,12,1,59,1
462,.728,1,1,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,3,3,5,3,6,1,3,2,2,82,4,1,1,16,1,54,5
463,.8554,1,1,6,0,0,0,0,1,0,5,3,1,0,1,1,0,0,0,6,1,1,2,1,2,6,1,2,1,1,43,4,1,2,12,1,74,1
464,1.5268,1,3,2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,2,5,1,2,35,2,4,1,14,1,74,1
465,.8539,1,1,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,2,3,2,2,2,2,1,1,2,1,1,53,4,1,1,16,1,43,1
466,1.7415,2,1,6,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,2,1,1,1,2,2,1,1,2,1,1,44,1,4,1,8,1,74,1
467,.6353,1,1,6,0,0,1,0,0,0,5,3,0,1,0,0,0,0,0,6,3,3,3,2,3,6,2,3,2,1,68,4,1,2,15,0,31,1
468,.9039,1,2,6,0,0,0,0,1,0,5,3,0,0,0,1,0,0,0,2,3,3,3,5,3,6,1,5,1,2,38,3,1,2,10,1,93,1
469,1.0297,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,6,3,3,3,2,3,6,2,3,2,2,80,2,1,1,10,1,62,5
470,1.2875,1,1,6,0,0,0,1,0,0,5,2,1,1,1,0,0,0,0,2,3,1,2,1,2,2,1,2,1,2,43,3,4,2,17,1,21,7
471,.9798,1,1,6,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,6,2,1,1,1,2,6,1,1,1,1,30,3,1,2,14,1,71,1
472,1.0854,1,2,6,0,0,0,1,0,0,5,3,0,0,0,1,0,0,0,2,2,2,3,1,2,6,1,2,1,1,49,4,4,2,15,1,57,1
473,.7987,1,1,2,1,0,0,0,0,0,5,2,0,0,0,1,0,0,0,2,1,3,2,5,2,6,1,1,1,1,30,4,1,2,19,1,93,2
